2026-02-25 16:29:38,734 [INFO] - Logging configured.
2026-02-25 16:29:38,736 [INFO] - Initializing pipeline components...
2026-02-25 16:29:38,986 [INFO] - No checkpoint file found. Starting a new run.
2026-02-25 16:31:31,701 [INFO] - For chunk 1/1, generation 13/30 and length of current population 151 .
2026-02-25 16:31:31,981 [INFO] - For chunk 1/1, generation 14/30 and length of current population 151 .
2026-02-25 16:31:32,271 [INFO] - For chunk 1/1, generation 15/30 and length of current population 151 .
2026-02-25 16:31:32,561 [INFO] - For chunk 1/1, generation 16/30 and length of current population 151 .
2026-02-25 16:31:32,846 [INFO] - For chunk 1/1, generation 17/30 and length of current population 151 .
2026-02-25 16:31:34,316 [INFO] - For chunk 1/1, generation 18/30 and length of current population 151 .
2026-02-25 16:31:34,621 [INFO] - For chunk 1/1, generation 19/30 and length of current population 151 .
2026-02-25 16:31:34,913 [INFO] - For chunk 1/1, generation 20/30 and length of current population 151 .
2026-02-25 16:31:35,191 [INFO] - For chunk 1/1, generation 21/30 and length of current population 151 .
2026-02-25 16:31:35,513 [INFO] - For chunk 1/1, generation 22/30 and length of current population 151 .
2026-02-25 16:31:35,824 [INFO] - For chunk 1/1, generation 23/30 and length of current population 151 .
2026-02-25 16:31:36,111 [INFO] - For chunk 1/1, generation 24/30 and length of current population 151 .
2026-02-25 16:31:36,423 [INFO] - For chunk 1/1, generation 25/30 and length of current population 151 .
2026-02-25 16:31:36,744 [INFO] - For chunk 1/1, generation 26/30 and length of current population 151 .
2026-02-25 16:31:37,044 [INFO] - For chunk 1/1, generation 27/30 and length of current population 151 .
2026-02-25 16:31:37,353 [INFO] - For chunk 1/1, generation 28/30 and length of current population 151 .
2026-02-25 16:31:37,655 [INFO] - For chunk 1/1, generation 29/30 and length of current population 151 .
2026-02-25 16:31:38,001 [INFO] - For chunk 1/1, generation 30/30 and length of current population 151 .
2026-02-25 16:31:38,007 [INFO] - Dataset iteration 1 for depth 3 in high volatility regime.
2026-02-25 16:31:38,316 [INFO] - Sanitized unary node val 19 -> 5
2026-02-25 16:31:38,546 [INFO] - For chunk 1/1, generation 1/30 and length of current population 151 .
2026-02-25 16:31:38,929 [INFO] - For chunk 1/1, generation 2/30 and length of current population 151 .
2026-02-25 16:31:39,311 [INFO] - For chunk 1/1, generation 3/30 and length of current population 151 .
2026-02-25 16:31:39,711 [INFO] - For chunk 1/1, generation 4/30 and length of current population 151 .
2026-02-25 16:31:40,106 [INFO] - For chunk 1/1, generation 5/30 and length of current population 151 .
2026-02-25 16:31:40,536 [INFO] - For chunk 1/1, generation 6/30 and length of current population 151 .
2026-02-25 16:31:40,956 [INFO] - For chunk 1/1, generation 7/30 and length of current population 151 .
2026-02-25 16:31:41,328 [INFO] - For chunk 1/1, generation 8/30 and length of current population 151 .
2026-02-25 16:31:41,719 [INFO] - For chunk 1/1, generation 9/30 and length of current population 151 .
2026-02-25 16:31:42,121 [INFO] - For chunk 1/1, generation 10/30 and length of current population 151 .
2026-02-25 16:31:42,511 [INFO] - For chunk 1/1, generation 11/30 and length of current population 151 .
2026-02-25 16:31:42,921 [INFO] - For chunk 1/1, generation 12/30 and length of current population 151 .
2026-02-25 16:31:43,393 [INFO] - For chunk 1/1, generation 13/30 and length of current population 151 .
2026-02-25 16:31:44,271 [INFO] - For chunk 1/1, generation 14/30 and length of current population 151 .
2026-02-25 16:31:44,685 [INFO] - For chunk 1/1, generation 15/30 and length of current population 151 .
2026-02-25 16:31:45,103 [INFO] - For chunk 1/1, generation 16/30 and length of current population 151 .
2026-02-25 16:31:45,551 [INFO] - For chunk 1/1, generation 17/30 and length of current population 151 .
2026-02-25 16:31:46,057 [INFO] - For chunk 1/1, generation 18/30 and length of current population 151 .
2026-02-25 16:31:46,566 [INFO] - For chunk 1/1, generation 19/30 and length of current population 151 .
2026-02-25 16:31:47,041 [INFO] - For chunk 1/1, generation 20/30 and length of current population 151 .
2026-02-25 16:31:47,517 [INFO] - For chunk 1/1, generation 21/30 and length of current population 151 .
2026-02-25 16:31:48,028 [INFO] - For chunk 1/1, generation 22/30 and length of current population 151 .
2026-02-25 16:31:48,556 [INFO] - For chunk 1/1, generation 23/30 and length of current population 151 .
2026-02-25 16:31:49,051 [INFO] - For chunk 1/1, generation 24/30 and length of current population 151 .
2026-02-25 16:31:49,546 [INFO] - For chunk 1/1, generation 25/30 and length of current population 151 .
2026-02-25 16:31:50,033 [INFO] - For chunk 1/1, generation 26/30 and length of current population 151 .
2026-02-25 16:31:50,561 [INFO] - For chunk 1/1, generation 27/30 and length of current population 151 .
2026-02-25 16:31:51,104 [INFO] - For chunk 1/1, generation 28/30 and length of current population 151 .
2026-02-25 16:31:51,591 [INFO] - For chunk 1/1, generation 29/30 and length of current population 151 .
2026-02-25 16:31:52,116 [INFO] - For chunk 1/1, generation 30/30 and length of current population 151 .
2026-02-25 16:31:52,124 [INFO] - Dataset iteration 1 for depth 2 in low volatility regime.
2026-02-25 16:31:52,644 [INFO] - For chunk 1/1, generation 1/30 and length of current population 151 .
2026-02-25 16:31:53,012 [INFO] - For chunk 1/1, generation 2/30 and length of current population 151 .
2026-02-25 16:31:53,467 [INFO] - For chunk 1/1, generation 3/30 and length of current population 151 .
2026-02-25 16:31:53,813 [INFO] - For chunk 1/1, generation 4/30 and length of current population 151 .
2026-02-25 16:31:54,191 [INFO] - For chunk 1/1, generation 5/30 and length of current population 151 .
2026-02-25 16:31:54,594 [INFO] - For chunk 1/1, generation 6/30 and length of current population 151 .
2026-02-25 16:31:54,986 [INFO] - For chunk 1/1, generation 7/30 and length of current population 151 .
2026-02-25 16:31:55,376 [INFO] - For chunk 1/1, generation 8/30 and length of current population 151 .
2026-02-25 16:31:55,775 [INFO] - For chunk 1/1, generation 9/30 and length of current population 151 .
2026-02-25 16:31:56,151 [INFO] - For chunk 1/1, generation 10/30 and length of current population 151 .
2026-02-25 16:31:56,936 [INFO] - For chunk 1/1, generation 11/30 and length of current population 151 .
2026-02-25 16:31:57,311 [INFO] - For chunk 1/1, generation 12/30 and length of current population 151 .
2026-02-25 16:31:57,667 [INFO] - For chunk 1/1, generation 13/30 and length of current population 151 .
2026-02-25 16:31:58,004 [INFO] - For chunk 1/1, generation 14/30 and length of current population 151 .
2026-02-25 16:31:58,461 [INFO] - For chunk 1/1, generation 15/30 and length of current population 151 .
2026-02-25 16:31:58,814 [INFO] - For chunk 1/1, generation 16/30 and length of current population 151 .
2026-02-25 16:31:59,141 [INFO] - For chunk 1/1, generation 17/30 and length of current population 151 .
2026-02-25 16:31:59,501 [INFO] - For chunk 1/1, generation 18/30 and length of current population 151 .
2026-02-25 16:31:59,882 [INFO] - For chunk 1/1, generation 19/30 and length of current population 151 .
2026-02-25 16:32:00,241 [INFO] - For chunk 1/1, generation 20/30 and length of current population 151 .
2026-02-25 16:32:00,571 [INFO] - For chunk 1/1, generation 21/30 and length of current population 151 .
2026-02-25 16:32:00,962 [INFO] - For chunk 1/1, generation 22/30 and length of current population 151 .
2026-02-25 16:32:01,277 [INFO] - For chunk 1/1, generation 23/30 and length of current population 151 .
2026-02-25 16:32:01,611 [INFO] - For chunk 1/1, generation 24/30 and length of current population 151 .
2026-02-25 16:32:01,952 [INFO] - For chunk 1/1, generation 25/30 and length of current population 151 .
2026-02-25 16:32:02,290 [INFO] - For chunk 1/1, generation 26/30 and length of current population 151 .
2026-02-25 16:32:02,631 [INFO] - For chunk 1/1, generation 27/30 and length of current population 151 .
2026-02-25 16:32:02,988 [INFO] - For chunk 1/1, generation 28/30 and length of current population 151 .
2026-02-25 16:32:03,413 [INFO] - For chunk 1/1, generation 29/30 and length of current population 151 .
2026-02-25 16:32:03,751 [INFO] - For chunk 1/1, generation 30/30 and length of current population 151 .
2026-02-25 16:32:03,758 [INFO] - Dataset iteration 1 for depth 3 in low volatility regime.
2026-02-25 16:32:04,044 [INFO] - Sanitized unary node val 23 -> 5
2026-02-25 16:32:04,333 [INFO] - For chunk 1/1, generation 1/30 and length of current population 151 .
2026-02-25 16:32:04,767 [INFO] - For chunk 1/1, generation 2/30 and length of current population 151 .
2026-02-25 16:32:05,262 [INFO] - For chunk 1/1, generation 3/30 and length of current population 151 .
2026-02-25 16:32:05,703 [INFO] - For chunk 1/1, generation 4/30 and length of current population 151 .
2026-02-25 16:32:06,142 [INFO] - For chunk 1/1, generation 5/30 and length of current population 151 .
2026-02-25 16:32:06,574 [INFO] - For chunk 1/1, generation 6/30 and length of current population 151 .
2026-02-25 16:32:06,974 [INFO] - For chunk 1/1, generation 7/30 and length of current population 151 .
2026-02-25 16:32:07,547 [INFO] - For chunk 1/1, generation 8/30 and length of current population 151 .
2026-02-25 16:32:07,989 [INFO] - For chunk 1/1, generation 9/30 and length of current population 151 .
2026-02-25 16:32:08,488 [INFO] - For chunk 1/1, generation 10/30 and length of current population 151 .
2026-02-25 16:32:08,921 [INFO] - For chunk 1/1, generation 11/30 and length of current population 151 .
2026-02-25 16:32:09,333 [INFO] - For chunk 1/1, generation 12/30 and length of current population 151 .
2026-02-25 16:32:09,730 [INFO] - For chunk 1/1, generation 13/30 and length of current population 151 .
2026-02-25 16:32:10,146 [INFO] - For chunk 1/1, generation 14/30 and length of current population 151 .
2026-02-25 16:32:10,555 [INFO] - For chunk 1/1, generation 15/30 and length of current population 151 .
2026-02-25 16:32:11,043 [INFO] - For chunk 1/1, generation 16/30 and length of current population 151 .
2026-02-25 16:32:11,445 [INFO] - For chunk 1/1, generation 17/30 and length of current population 151 .
2026-02-25 16:32:11,887 [INFO] - For chunk 1/1, generation 18/30 and length of current population 151 .
2026-02-25 16:32:12,301 [INFO] - For chunk 1/1, generation 19/30 and length of current population 151 .
2026-02-25 16:32:12,704 [INFO] - For chunk 1/1, generation 20/30 and length of current population 151 .
2026-02-25 16:32:13,143 [INFO] - For chunk 1/1, generation 21/30 and length of current population 151 .
2026-02-25 16:32:13,611 [INFO] - For chunk 1/1, generation 22/30 and length of current population 151 .
2026-02-25 16:32:14,024 [INFO] - For chunk 1/1, generation 23/30 and length of current population 151 .
2026-02-25 16:32:14,941 [INFO] - For chunk 1/1, generation 24/30 and length of current population 151 .
2026-02-25 16:32:15,365 [INFO] - For chunk 1/1, generation 25/30 and length of current population 151 .
2026-02-25 16:32:15,845 [INFO] - For chunk 1/1, generation 26/30 and length of current population 151 .
2026-02-25 16:32:16,296 [INFO] - For chunk 1/1, generation 27/30 and length of current population 151 .
2026-02-25 16:32:16,737 [INFO] - For chunk 1/1, generation 28/30 and length of current population 151 .
2026-02-25 16:32:17,152 [INFO] - For chunk 1/1, generation 29/30 and length of current population 151 .
